n_nodes,n_clusters,pure_nodes_number,seed,method,matrix,error,time
2500,3,3,3,GeoNMF,B,0.127018632451,87.0208609104
2500,3,3,4,SPOC_bootstrap,Theta,0.0395761594468,1.86718082428
2500,3,3,4,SPOC_bootstrap,B,0.0617166334411,1.86718082428
2500,3,3,4,SPOC,Theta,0.0429091811234,0.178609848022
2500,3,3,4,SPOC,B,0.0678296247311,0.178609848022
2500,3,3,4,GeoNMF,Theta,0.0414674723782,81.9364790916
2500,3,3,4,GeoNMF,B,0.150692571825,81.9364790916
3000,3,3,0,SPOC_bootstrap,Theta,0.0346097289783,2.31434297562
3000,3,3,0,SPOC_bootstrap,B,0.0624978316211,2.31434297562
3000,3,3,0,SPOC,Theta,0.0401979655652,0.23215007782
3000,3,3,0,SPOC,B,0.106668181168,0.23215007782
3000,3,3,0,GeoNMF,Theta,0.0364464969736,121.060333014
3000,3,3,0,GeoNMF,B,0.141289826945,121.060333014
3000,3,3,1,SPOC_bootstrap,Theta,0.0434441914288,2.3173930645
3000,3,3,1,SPOC_bootstrap,B,0.0402245993843,2.3173930645
3000,3,3,1,SPOC,Theta,0.0533271844279,0.267596006393
3000,3,3,1,SPOC,B,0.110875028441,0.267596006393
3000,3,3,1,GeoNMF,Theta,0.0444590070381,108.593477011
3000,3,3,1,GeoNMF,B,0.0832714051939,108.593477011
3000,3,3,2,SPOC_bootstrap,Theta,0.0394803943637,2.11944913864
3000,3,3,2,SPOC_bootstrap,B,0.0430720202656,2.11944913864
3000,3,3,2,SPOC,Theta,0.0526693998388,0.230086088181
3000,3,3,2,SPOC,B,0.11689765628,0.230086088181
3000,3,3,2,GeoNMF,Theta,0.0383450923699,108.334111929
3000,3,3,2,GeoNMF,B,0.13179967492,108.334111929
3000,3,3,3,SPOC_bootstrap,Theta,0.0382191790224,2.17617797852
3000,3,3,3,SPOC_bootstrap,B,0.0599839124747,2.17617797852
3000,3,3,3,SPOC,Theta,0.0454237483769,0.230759859085
3000,3,3,3,SPOC,B,0.111584311234,0.230759859085
3000,3,3,3,GeoNMF,Theta,0.0333535561144,123.301094055
3000,3,3,3,GeoNMF,B,0.126018388347,123.301094055
3000,3,3,4,SPOC_bootstrap,Theta,0.0361080012299,2.44405007362
3000,3,3,4,SPOC_bootstrap,B,0.0495919162431,2.44405007362
3000,3,3,4,SPOC,Theta,0.0469206398188,0.258232116699
3000,3,3,4,SPOC,B,0.11247514029,0.258232116699
3000,3,3,4,GeoNMF,Theta,0.037871273047,125.692458868
3000,3,3,4,GeoNMF,B,0.144399966558,125.692458868
3500,3,3,0,SPOC_bootstrap,Theta,0.030955906331,3.09220218658
3500,3,3,0,SPOC_bootstrap,B,0.0395881889486,3.09220218658
3500,3,3,0,SPOC,Theta,0.0380164579213,0.293722867966
3500,3,3,0,SPOC,B,0.0871928514858,0.293722867966
3500,3,3,0,GeoNMF,Theta,0.0339545186856,180.045175076
3500,3,3,0,GeoNMF,B,0.142879718453,180.045175076
3500,3,3,1,SPOC_bootstrap,Theta,0.0402576320788,2.94343996048
3500,3,3,1,SPOC_bootstrap,B,0.0541352187958,2.94343996048
3500,3,3,1,SPOC,Theta,0.051926650728,0.298615932465
3500,3,3,1,SPOC,B,0.117009253646,0.298615932465
3500,3,3,1,GeoNMF,Theta,0.0399415720647,173.191637039
3500,3,3,1,GeoNMF,B,0.0847720187209,173.191637039
3500,3,3,2,SPOC_bootstrap,Theta,0.0389826430654,3.11519885063
3500,3,3,2,SPOC_bootstrap,B,0.0644367345997,3.11519885063
3500,3,3,2,SPOC,Theta,0.0455725685562,0.285528898239
3500,3,3,2,SPOC,B,0.111207844673,0.285528898239
3500,3,3,2,GeoNMF,Theta,0.0374503550216,166.850464106
3500,3,3,2,GeoNMF,B,0.123878759207,166.850464106
3500,3,3,3,SPOC_bootstrap,Theta,0.034912062551,3.7721221447
3500,3,3,3,SPOC_bootstrap,B,0.0563505076442,3.7721221447
3500,3,3,3,SPOC,Theta,0.0432697999033,0.499363899231
3500,3,3,3,SPOC,B,0.103228678084,0.499363899231
3500,3,3,3,GeoNMF,Theta,0.0342888102517,170.990457058
3500,3,3,3,GeoNMF,B,0.131273863076,170.990457058
3500,3,3,4,SPOC_bootstrap,Theta,0.0347948859356,3.69106984138
3500,3,3,4,SPOC_bootstrap,B,0.0461874073778,3.69106984138
3500,3,3,4,SPOC,Theta,0.0393410615999,0.50054693222
3500,3,3,4,SPOC,B,0.0676899078559,0.50054693222
3500,3,3,4,GeoNMF,Theta,0.0298247129829,186.747361898
3500,3,3,4,GeoNMF,B,0.156738869879,186.747361898
4000,3,3,0,SPOC_bootstrap,Theta,0.029312305707,4.08535408974
4000,3,3,0,SPOC_bootstrap,B,0.0438542191323,4.08535408974
4000,3,3,0,SPOC,Theta,0.0354518030316,0.367352962494
4000,3,3,0,SPOC,B,0.0894562818437,0.367352962494
4000,3,3,0,GeoNMF,Theta,0.0284855598212,234.367882013
4000,3,3,0,GeoNMF,B,0.147639914951,234.367882013
4000,3,3,1,SPOC_bootstrap,Theta,0.0364377133705,3.719217062
4000,3,3,1,SPOC_bootstrap,B,0.0448665188686,3.719217062
4000,3,3,1,SPOC,Theta,0.0463708181025,0.550982952118
4000,3,3,1,SPOC,B,0.095682306048,0.550982952118
4000,3,3,1,GeoNMF,Theta,0.0387159569141,221.529808998
4000,3,3,1,GeoNMF,B,0.0918657371651,221.529808998
4000,3,3,2,SPOC_bootstrap,Theta,0.0376230389096,3.68121385574
4000,3,3,2,SPOC_bootstrap,B,0.0772511746102,3.68121385574
4000,3,3,2,SPOC,Theta,0.0448759235408,0.465890884399
4000,3,3,2,SPOC,B,0.122240950741,0.465890884399
4000,3,3,2,GeoNMF,Theta,0.0329130706298,225.944173098
4000,3,3,2,GeoNMF,B,0.126632031783,225.944173098
4000,3,3,3,SPOC_bootstrap,Theta,0.0350748062713,4.00990700722
4000,3,3,3,SPOC_bootstrap,B,0.0556529912756,4.00990700722
4000,3,3,3,SPOC,Theta,0.0442703301108,0.378793954849
4000,3,3,3,SPOC,B,0.114164037559,0.378793954849
4000,3,3,3,GeoNMF,Theta,0.0328668175538,244.444851875
4000,3,3,3,GeoNMF,B,0.123087653356,244.444851875
4000,3,3,4,SPOC_bootstrap,Theta,0.0308237150578,7.26884293556
4000,3,3,4,SPOC_bootstrap,B,0.0414630332921,7.26884293556
4000,3,3,4,SPOC,Theta,0.0409696991541,0.831968069077
4000,3,3,4,SPOC,B,0.0888647535499,0.831968069077
4000,3,3,4,GeoNMF,Theta,0.0330299208145,247.284701109
4000,3,3,4,GeoNMF,B,0.143671274547,247.284701109
4500,3,3,0,SPOC_bootstrap,Theta,0.0279379586406,6.11435508728
4500,3,3,0,SPOC_bootstrap,B,0.0371208584072,6.11435508728
4500,3,3,0,SPOC,Theta,0.0366482344329,0.723880052567
4500,3,3,0,SPOC,B,0.100744427688,0.723880052567
4500,3,3,0,GeoNMF,Theta,0.0287367562295,310.597419977
4500,3,3,0,GeoNMF,B,0.140917029437,310.597419977
4500,3,3,1,SPOC_bootstrap,Theta,0.0384268968926,5.26594591141
4500,3,3,1,SPOC_bootstrap,B,0.0643498332645,5.26594591141
4500,3,3,1,SPOC,Theta,0.0448383731645,0.794794082642
4500,3,3,1,SPOC,B,0.0927970279776,0.794794082642
4500,3,3,1,GeoNMF,Theta,0.0318327595631,306.278100967
4500,3,3,1,GeoNMF,B,0.103373025484,306.278100967
4500,3,3,2,SPOC_bootstrap,Theta,0.0325717404317,5.53396010399
4500,3,3,2,SPOC_bootstrap,B,0.0521303954519,5.53396010399
4500,3,3,2,SPOC,Theta,0.0411468085159,0.59871006012
4500,3,3,2,SPOC,B,0.0828953520513,0.59871006012
4500,3,3,2,GeoNMF,Theta,0.0324943405412,327.040049076
4500,3,3,2,GeoNMF,B,0.131100601232,327.040049076
4500,3,3,3,SPOC_bootstrap,Theta,0.0296672297228,7.24933099747
4500,3,3,3,SPOC_bootstrap,B,0.0242712467184,7.24933099747
4500,3,3,3,SPOC,Theta,0.0393900296694,0.856188058853
4500,3,3,3,SPOC,B,0.0847967986964,0.856188058853
4500,3,3,3,GeoNMF,Theta,0.0306830233447,350.506371021
4500,3,3,3,GeoNMF,B,0.135817300063,350.506371021
4500,3,3,4,SPOC_bootstrap,Theta,0.0298162398968,7.39759087563
4500,3,3,4,SPOC_bootstrap,B,0.0503970394049,7.39759087563
4500,3,3,4,SPOC,Theta,0.0347713520706,0.850136995316
4500,3,3,4,SPOC,B,0.0531457069774,0.850136995316
4500,3,3,4,GeoNMF,Theta,0.0286229220286,366.952330112
