n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.3,2,basic_SPA,Theta,0.136142395015
1000,3,3,0.3,2,basic_SPA,B,0.18982939205
1000,3,3,0.3,2,bootstrap_SPA,Theta,0.101407514702
1000,3,3,0.3,2,bootstrap_SPA,B,0.117077107557
1000,3,3,0.3,3,Geo_NMF,Theta,0.0982430730637
1000,3,3,0.3,3,Geo_NMF,B,0.0437854154732
1000,3,3,0.3,3,basic_SPA,Theta,0.129795547158
1000,3,3,0.3,3,basic_SPA,B,0.25189575556
1000,3,3,0.3,3,bootstrap_SPA,Theta,0.101375608187
1000,3,3,0.3,3,bootstrap_SPA,B,0.169807069152
1000,3,3,0.3,4,Geo_NMF,Theta,0.125040504625
1000,3,3,0.3,4,Geo_NMF,B,0.0769628650672
1000,3,3,0.3,4,basic_SPA,Theta,0.146256094485
1000,3,3,0.3,4,basic_SPA,B,0.227402226149
1000,3,3,0.3,4,bootstrap_SPA,Theta,0.109169109151
1000,3,3,0.3,4,bootstrap_SPA,B,0.100250830413
1000,3,3,0.3,5,Geo_NMF,Theta,0.12188156165
1000,3,3,0.3,5,Geo_NMF,B,0.0798258493593
1000,3,3,0.3,5,basic_SPA,Theta,0.170325512379
1000,3,3,0.3,5,basic_SPA,B,0.303875526963
1000,3,3,0.3,5,bootstrap_SPA,Theta,0.11747815197
1000,3,3,0.3,5,bootstrap_SPA,B,0.119821042958
1000,3,3,0.3,6,Geo_NMF,Theta,0.111719364508
1000,3,3,0.3,6,Geo_NMF,B,0.0807761548324
1000,3,3,0.3,6,basic_SPA,Theta,0.148162046597
1000,3,3,0.3,6,basic_SPA,B,0.232295342265
1000,3,3,0.3,6,bootstrap_SPA,Theta,0.115076657542
1000,3,3,0.3,6,bootstrap_SPA,B,0.123835936786
1000,3,3,0.3,7,Geo_NMF,Theta,0.104504082708
1000,3,3,0.3,7,Geo_NMF,B,0.0708125194086
1000,3,3,0.3,7,basic_SPA,Theta,0.147086131472
1000,3,3,0.3,7,basic_SPA,B,0.214210060263
1000,3,3,0.3,7,bootstrap_SPA,Theta,0.0978423624855
1000,3,3,0.3,7,bootstrap_SPA,B,0.111373040201
1000,3,3,0.3,8,Geo_NMF,Theta,0.148716823113
1000,3,3,0.3,8,Geo_NMF,B,0.0609945762716
1000,3,3,0.3,8,basic_SPA,Theta,0.163072528689
1000,3,3,0.3,8,basic_SPA,B,0.243038479071
1000,3,3,0.3,8,bootstrap_SPA,Theta,0.110837577282
1000,3,3,0.3,8,bootstrap_SPA,B,0.0831078253208
1000,3,3,0.3,9,Geo_NMF,Theta,0.106562419219
1000,3,3,0.3,9,Geo_NMF,B,0.118446646772
1000,3,3,0.3,9,basic_SPA,Theta,0.140860055726
1000,3,3,0.3,9,basic_SPA,B,0.222633242263
1000,3,3,0.3,9,bootstrap_SPA,Theta,0.112623410509
1000,3,3,0.3,9,bootstrap_SPA,B,0.0977681885969
1000,3,3,0.35,0,Geo_NMF,Theta,0.134483803765
1000,3,3,0.35,0,Geo_NMF,B,0.0428881697494
1000,3,3,0.35,0,basic_SPA,Theta,0.169695719508
1000,3,3,0.35,0,basic_SPA,B,0.175207100639
1000,3,3,0.35,0,bootstrap_SPA,Theta,0.126575258923
1000,3,3,0.35,0,bootstrap_SPA,B,0.100550724852
1000,3,3,0.35,1,Geo_NMF,Theta,0.133916365362
1000,3,3,0.35,1,Geo_NMF,B,0.0763506723639
1000,3,3,0.35,1,basic_SPA,Theta,0.154283702568
1000,3,3,0.35,1,basic_SPA,B,0.160837894362
1000,3,3,0.35,1,bootstrap_SPA,Theta,0.125019745004
1000,3,3,0.35,1,bootstrap_SPA,B,0.0732068746341
1000,3,3,0.35,2,Geo_NMF,Theta,0.139204062274
1000,3,3,0.35,2,Geo_NMF,B,0.118198003718
1000,3,3,0.35,2,basic_SPA,Theta,0.167112188892
1000,3,3,0.35,2,basic_SPA,B,0.190781098247
1000,3,3,0.35,2,bootstrap_SPA,Theta,0.120979364931
1000,3,3,0.35,2,bootstrap_SPA,B,0.0992632306168
1000,3,3,0.35,3,Geo_NMF,Theta,0.124891570432
1000,3,3,0.35,3,Geo_NMF,B,0.0381778611086
1000,3,3,0.35,3,basic_SPA,Theta,0.156579579872
1000,3,3,0.35,3,basic_SPA,B,0.177392145604
1000,3,3,0.35,3,bootstrap_SPA,Theta,0.128045814256
1000,3,3,0.35,3,bootstrap_SPA,B,0.152874186018
1000,3,3,0.35,4,Geo_NMF,Theta,0.165716193159
1000,3,3,0.35,4,Geo_NMF,B,0.0719834875427
1000,3,3,0.35,4,basic_SPA,Theta,0.163485846821
1000,3,3,0.35,4,basic_SPA,B,0.159880149598
1000,3,3,0.35,4,bootstrap_SPA,Theta,0.139616667825
1000,3,3,0.35,4,bootstrap_SPA,B,0.0979123233239
1000,3,3,0.35,5,Geo_NMF,Theta,0.151635769033
1000,3,3,0.35,5,Geo_NMF,B,0.0891628625088
1000,3,3,0.35,5,basic_SPA,Theta,0.185834806517
1000,3,3,0.35,5,basic_SPA,B,0.236813751769
1000,3,3,0.35,5,bootstrap_SPA,Theta,0.134868925228
1000,3,3,0.35,5,bootstrap_SPA,B,0.112643614642
1000,3,3,0.35,6,Geo_NMF,Theta,0.147965632667
1000,3,3,0.35,6,Geo_NMF,B,0.0863424941701
1000,3,3,0.35,6,basic_SPA,Theta,0.185700605906
1000,3,3,0.35,6,basic_SPA,B,0.207851348844
1000,3,3,0.35,6,bootstrap_SPA,Theta,0.138454632296
1000,3,3,0.35,6,bootstrap_SPA,B,0.113943228318
1000,3,3,0.35,7,Geo_NMF,Theta,0.124055227948
1000,3,3,0.35,7,Geo_NMF,B,0.0941235536026
1000,3,3,0.35,7,basic_SPA,Theta,0.173712628564
1000,3,3,0.35,7,basic_SPA,B,0.214975629524
1000,3,3,0.35,7,bootstrap_SPA,Theta,0.116516539451
1000,3,3,0.35,7,bootstrap_SPA,B,0.107044469347
1000,3,3,0.35,8,Geo_NMF,Theta,0.190267859975
1000,3,3,0.35,8,Geo_NMF,B,0.100467067888
1000,3,3,0.35,8,basic_SPA,Theta,0.206439850427
1000,3,3,0.35,8,basic_SPA,B,0.253352716426
1000,3,3,0.35,8,bootstrap_SPA,Theta,0.148817085792
1000,3,3,0.35,8,bootstrap_SPA,B,0.0953477649796
1000,3,3,0.35,9,Geo_NMF,Theta,0.133080575519
1000,3,3,0.35,9,Geo_NMF,B,0.0584907027444
1000,3,3,0.35,9,basic_SPA,Theta,0.159654918116
1000,3,3,0.35,9,basic_SPA,B,0.225853533211
1000,3,3,0.35,9,bootstrap_SPA,Theta,0.134725637311
1000,3,3,0.35,9,bootstrap_SPA,B,0.114495116461
1000,3,3,0.4,0,Geo_NMF,Theta,0.192300981918
1000,3,3,0.4,0,Geo_NMF,B,0.0480022870507
1000,3,3,0.4,0,basic_SPA,Theta,0.241515028229
1000,3,3,0.4,0,basic_SPA,B,0.191563562846
1000,3,3,0.4,0,bootstrap_SPA,Theta,0.207647090538
1000,3,3,0.4,0,bootstrap_SPA,B,0.105776772727
1000,3,3,0.4,1,Geo_NMF,Theta,0.190907701616
1000,3,3,0.4,1,Geo_NMF,B,0.0792672361392
1000,3,3,0.4,1,basic_SPA,Theta,0.221417537056
1000,3,3,0.4,1,basic_SPA,B,0.154760816913
1000,3,3,0.4,1,bootstrap_SPA,Theta,0.195078150509
1000,3,3,0.4,1,bootstrap_SPA,B,0.0677224373073
1000,3,3,0.4,2,Geo_NMF,Theta,0.202606784786
1000,3,3,0.4,2,Geo_NMF,B,0.0658899213876
1000,3,3,0.4,2,basic_SPA,Theta,0.234169457294
1000,3,3,0.4,2,basic_SPA,B,0.16346011019
1000,3,3,0.4,2,bootstrap_SPA,Theta,0.198410792419
