n_nodes,n_clusters,pure_nodes_number,rho,seed,method,matrix,error
1000,3,3,0.4,0,GeoNMF,B,0.992010710721
1000,3,3,0.4,1,SPOC_bootstrap,Theta,0.105660555597
1000,3,3,0.4,1,SPOC_bootstrap,B,1.0575111577
1000,3,3,0.4,1,SPOC,Theta,0.121609846329
1000,3,3,0.4,1,SPOC,B,0.848398857641
1000,3,3,0.4,1,GeoNMF,Theta,0.102723446961
1000,3,3,0.4,1,GeoNMF,B,1.02777516421
1000,3,3,0.4,2,SPOC_bootstrap,Theta,0.107528114298
1000,3,3,0.4,2,SPOC_bootstrap,B,1.03897615911
1000,3,3,0.4,2,SPOC,Theta,0.144455184056
1000,3,3,0.4,2,SPOC,B,0.791071808962
1000,3,3,0.4,2,GeoNMF,Theta,0.102797732289
1000,3,3,0.4,2,GeoNMF,B,0.97800129793
1000,3,3,0.4,3,SPOC_bootstrap,Theta,0.111354403816
1000,3,3,0.4,3,SPOC_bootstrap,B,1.04203332177
1000,3,3,0.4,3,SPOC,Theta,0.148931501716
1000,3,3,0.4,3,SPOC,B,0.776635303238
1000,3,3,0.4,3,GeoNMF,Theta,0.0992875283788
1000,3,3,0.4,3,GeoNMF,B,0.953243676721
1000,3,3,0.4,4,SPOC_bootstrap,Theta,0.115122757031
1000,3,3,0.4,4,SPOC_bootstrap,B,1.02344614299
1000,3,3,0.4,4,SPOC,Theta,0.149000462997
1000,3,3,0.4,4,SPOC,B,0.766924122662
1000,3,3,0.4,4,GeoNMF,Theta,0.100123143145
1000,3,3,0.4,4,GeoNMF,B,1.00771496497
1000,3,3,0.4,5,SPOC_bootstrap,Theta,0.112898893949
1000,3,3,0.4,5,SPOC_bootstrap,B,1.01501091825
1000,3,3,0.4,5,SPOC,Theta,0.15621790494
1000,3,3,0.4,5,SPOC,B,0.773523141208
1000,3,3,0.4,5,GeoNMF,Theta,0.115891767892
1000,3,3,0.4,5,GeoNMF,B,0.94400152986
1000,3,3,0.4,6,SPOC_bootstrap,Theta,0.11181035965
1000,3,3,0.4,6,SPOC_bootstrap,B,0.997672929238
1000,3,3,0.4,6,SPOC,Theta,0.162641915845
1000,3,3,0.4,6,SPOC,B,0.719890432952
1000,3,3,0.4,6,GeoNMF,Theta,0.111456022948
1000,3,3,0.4,6,GeoNMF,B,0.902823530814
1000,3,3,0.4,7,SPOC_bootstrap,Theta,0.0995943469884
1000,3,3,0.4,7,SPOC_bootstrap,B,1.05246070083
1000,3,3,0.4,7,SPOC,Theta,0.15022232933
1000,3,3,0.4,7,SPOC,B,0.764592060736
1000,3,3,0.4,7,GeoNMF,Theta,0.0915396753991
1000,3,3,0.4,7,GeoNMF,B,0.973863519599
1000,3,3,0.4,8,SPOC_bootstrap,Theta,0.115500963766
1000,3,3,0.4,8,SPOC_bootstrap,B,0.973856850045
1000,3,3,0.4,8,SPOC,Theta,0.140777298874
1000,3,3,0.4,8,SPOC,B,0.799763688354
1000,3,3,0.4,8,GeoNMF,Theta,0.0996664268821
1000,3,3,0.4,8,GeoNMF,B,0.971067350695
1000,3,3,0.4,9,SPOC_bootstrap,Theta,0.115074102983
1000,3,3,0.4,9,SPOC_bootstrap,B,1.00273624167
1000,3,3,0.4,9,SPOC,Theta,0.172466593345
1000,3,3,0.4,9,SPOC,B,0.712276546436
1000,3,3,0.4,9,GeoNMF,Theta,0.122203543816
1000,3,3,0.4,9,GeoNMF,B,0.908626358024
1000,3,3,0.5,0,SPOC_bootstrap,Theta,0.0970496321077
1000,3,3,0.5,0,SPOC_bootstrap,B,0.900101796945
1000,3,3,0.5,0,SPOC,Theta,0.129781069189
1000,3,3,0.5,0,SPOC,B,0.597157945763
1000,3,3,0.5,0,GeoNMF,Theta,0.0890725345963
1000,3,3,0.5,0,GeoNMF,B,0.849890800675
1000,3,3,0.5,1,SPOC_bootstrap,Theta,0.0917923796458
1000,3,3,0.5,1,SPOC_bootstrap,B,0.885727347514
1000,3,3,0.5,1,SPOC,Theta,0.111918548086
1000,3,3,0.5,1,SPOC,B,0.668064290927
1000,3,3,0.5,1,GeoNMF,Theta,0.0855800452057
1000,3,3,0.5,1,GeoNMF,B,0.859328522084
1000,3,3,0.5,2,SPOC_bootstrap,Theta,0.0931225988758
1000,3,3,0.5,2,SPOC_bootstrap,B,0.884874535186
1000,3,3,0.5,2,SPOC,Theta,0.115428850015
1000,3,3,0.5,2,SPOC,B,0.655855028924
1000,3,3,0.5,2,GeoNMF,Theta,0.0927015853297
1000,3,3,0.5,2,GeoNMF,B,0.868294989941
1000,3,3,0.5,3,SPOC_bootstrap,Theta,0.0961618133445
1000,3,3,0.5,3,SPOC_bootstrap,B,0.908719606835
1000,3,3,0.5,3,SPOC,Theta,0.117266281516
1000,3,3,0.5,3,SPOC,B,0.648522724338
1000,3,3,0.5,3,GeoNMF,Theta,0.0853154045678
1000,3,3,0.5,3,GeoNMF,B,0.879831592471
1000,3,3,0.5,4,SPOC_bootstrap,Theta,0.0963325375454
1000,3,3,0.5,4,SPOC_bootstrap,B,0.828659255392
1000,3,3,0.5,4,SPOC,Theta,0.125417087444
1000,3,3,0.5,4,SPOC,B,0.584760956055
1000,3,3,0.5,4,GeoNMF,Theta,0.108705256639
