n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.15,5,Geo_NMF,Theta,0.831542403624
1000,3,3,0.15,5,Geo_NMF,B,0.689692561241
1000,3,3,0.15,5,basic_SPA,Theta,0.828000421864
1000,3,3,0.15,5,basic_SPA,B,0.688871949366
1000,3,3,0.15,5,bootstrap_SPA,Theta,0.889850995419
1000,3,3,0.15,5,bootstrap_SPA,B,0.459267872434
1000,3,3,0.15,6,Geo_NMF,Theta,0.847514936717
1000,3,3,0.15,6,Geo_NMF,B,0.59804492143
1000,3,3,0.15,6,basic_SPA,Theta,0.812678857147
1000,3,3,0.15,6,basic_SPA,B,0.65401691887
1000,3,3,0.15,6,bootstrap_SPA,Theta,0.892852773469
1000,3,3,0.15,6,bootstrap_SPA,B,0.385951044467
1000,3,3,0.15,7,Geo_NMF,Theta,0.855022345157
1000,3,3,0.15,7,Geo_NMF,B,0.570136094414
1000,3,3,0.15,7,basic_SPA,Theta,0.831411141401
1000,3,3,0.15,7,basic_SPA,B,0.681390182351
1000,3,3,0.15,7,bootstrap_SPA,Theta,0.915846457028
1000,3,3,0.15,7,bootstrap_SPA,B,0.397460317235
1000,3,3,0.15,8,Geo_NMF,Theta,0.821285370871
1000,3,3,0.15,8,Geo_NMF,B,0.630718837354
1000,3,3,0.15,8,basic_SPA,Theta,0.814999078742
1000,3,3,0.15,8,basic_SPA,B,0.66610884001
1000,3,3,0.15,8,bootstrap_SPA,Theta,0.897056775688
1000,3,3,0.15,8,bootstrap_SPA,B,0.405070106173
1000,3,3,0.15,9,Geo_NMF,Theta,0.807406189514
1000,3,3,0.15,9,Geo_NMF,B,0.71217411106
1000,3,3,0.15,9,basic_SPA,Theta,0.794915822358
1000,3,3,0.15,9,basic_SPA,B,0.772725779997
1000,3,3,0.15,9,bootstrap_SPA,Theta,0.860723857964
1000,3,3,0.15,9,bootstrap_SPA,B,0.503733762385
1000,3,3,0.2,0,Geo_NMF,Theta,0.835554046947
1000,3,3,0.2,0,Geo_NMF,B,0.688585637553
1000,3,3,0.2,0,basic_SPA,Theta,0.819431364491
1000,3,3,0.2,0,basic_SPA,B,0.809907850809
1000,3,3,0.2,0,bootstrap_SPA,Theta,0.882588968846
1000,3,3,0.2,0,bootstrap_SPA,B,0.514701375424
1000,3,3,0.2,1,Geo_NMF,Theta,0.849046824938
1000,3,3,0.2,1,Geo_NMF,B,0.735417241501
1000,3,3,0.2,1,basic_SPA,Theta,0.823676464795
1000,3,3,0.2,1,basic_SPA,B,0.727519391269
1000,3,3,0.2,1,bootstrap_SPA,Theta,0.885955545487
1000,3,3,0.2,1,bootstrap_SPA,B,0.485176987174
1000,3,3,0.2,2,Geo_NMF,Theta,0.813162954015
1000,3,3,0.2,2,Geo_NMF,B,0.825486248666
1000,3,3,0.2,2,basic_SPA,Theta,0.808225727189
1000,3,3,0.2,2,basic_SPA,B,0.860136844482
1000,3,3,0.2,2,bootstrap_SPA,Theta,0.857644403662
1000,3,3,0.2,2,bootstrap_SPA,B,0.599783710881
1000,3,3,0.2,3,Geo_NMF,Theta,0.810444767347
1000,3,3,0.2,3,Geo_NMF,B,0.887805822584
1000,3,3,0.2,3,basic_SPA,Theta,0.801264539564
1000,3,3,0.2,3,basic_SPA,B,0.872513729458
1000,3,3,0.2,3,bootstrap_SPA,Theta,0.854947005895
1000,3,3,0.2,3,bootstrap_SPA,B,0.595583169391
1000,3,3,0.2,4,Geo_NMF,Theta,0.816728897133
1000,3,3,0.2,4,Geo_NMF,B,0.755397297492
1000,3,3,0.2,4,basic_SPA,Theta,0.806057925909
1000,3,3,0.2,4,basic_SPA,B,0.825801202467
1000,3,3,0.2,4,bootstrap_SPA,Theta,0.885293443429
1000,3,3,0.2,4,bootstrap_SPA,B,0.528265641395
1000,3,3,0.2,5,Geo_NMF,Theta,0.840785997196
1000,3,3,0.2,5,Geo_NMF,B,0.763369357164
1000,3,3,0.2,5,basic_SPA,Theta,0.812653578953
1000,3,3,0.2,5,basic_SPA,B,0.798366039322
1000,3,3,0.2,5,bootstrap_SPA,Theta,0.879174403079
1000,3,3,0.2,5,bootstrap_SPA,B,0.52256621346
1000,3,3,0.2,6,Geo_NMF,Theta,0.83004083949
1000,3,3,0.2,6,Geo_NMF,B,0.698836186821
1000,3,3,0.2,6,basic_SPA,Theta,0.82415803891
1000,3,3,0.2,6,basic_SPA,B,0.739470378161
1000,3,3,0.2,6,bootstrap_SPA,Theta,0.913530365007
1000,3,3,0.2,6,bootstrap_SPA,B,0.443590844417
1000,3,3,0.2,7,Geo_NMF,Theta,0.922878310273
1000,3,3,0.2,7,Geo_NMF,B,0.577365298873
1000,3,3,0.2,7,basic_SPA,Theta,0.822923256125
1000,3,3,0.2,7,basic_SPA,B,0.819186351668
1000,3,3,0.2,7,bootstrap_SPA,Theta,0.89073117171
1000,3,3,0.2,7,bootstrap_SPA,B,0.513572846118
1000,3,3,0.2,8,Geo_NMF,Theta,0.831198805749
1000,3,3,0.2,8,Geo_NMF,B,0.81623698472
1000,3,3,0.2,8,basic_SPA,Theta,0.839912186099
1000,3,3,0.2,8,basic_SPA,B,0.82402207184
